0,1,2,3,4
18,900.0,0,1566.5428571428572,1.8632000000000002
18,1200.0,0,1866.5428571428572,1.8632000000000002
18,1500.0,0,2166.542857142857,1.8632000000000002
27,1200.0,0,1838.3185714285714,1.07292
27,1500.0,0,2138.3185714285714,1.07292
28,1800.0,0,2440.0671428571427,1.1218800000000002
28,2100.0,0,2740.0671428571427,1.1218800000000002
28,2400.0,0,3040.0671428571427,1.1218800000000002
28,2700.0,0,3340.0671428571427,1.1218800000000002
10,2400.0,0,3003.4714285714285,0.09720000000000001
26,2700.0,0,3328.862857142857,0.80816
26,3000.0,0,3628.862857142857,0.80816
26,3300.0,0,3928.862857142857,0.80816
30,5400.0,0,6048.431428571428,1.35608
30,5700.0,0,6348.431428571428,1.35608
30,6000.0,0,6648.431428571428,1.35608
24,15900.0,0,16519.068571428572,0.53392
24,16200.0,0,16819.068571428572,0.53392
22,19500.0,0,20111.497142857144,0.32192000000000004
22,19800.0,0,20411.497142857144,0.32192000000000004
50,21000.0,0,21720.652857142857,3.37828
50,21300.0,0,22020.652857142857,3.37828
50,21600.0,0,22320.652857142857,3.37828
10,21300.0,0,21903.47142857143,0.09720000000000001
8,21600.0,0,22243.782857142858,1.2259200000000001
8,21900.0,0,22543.782857142858,1.2259200000000001
32,21600.0,0,22256.935714285715,1.5942
32,21900.0,0,22556.935714285715,1.5942
22,22500.0,0,23111.497142857144,0.32192000000000004
37,22500.0,0,23174.86,2.09608
37,22800.0,0,23474.86,2.09608
54,22500.0,0,23220.84857142857,3.38376
54,22800.0,0,23520.84857142857,3.38376
54,23100.0,0,23820.84857142857,3.38376
54,23400.0,0,24120.84857142857,3.38376
23,22500.0,0,23120.504285714287,0.57412
23,22800.0,0,23420.504285714287,0.57412
3,22800.0,0,23424.70857142857,0.69184
3,23100.0,0,23724.70857142857,0.69184
3,23400.0,0,24024.70857142857,0.69184
30,24000.0,0,24648.431428571428,1.35608
30,24300.0,0,24948.431428571428,1.35608
7,24300.0,0,24934.724285714285,0.97228
7,24600.0,0,25234.724285714285,0.97228
31,24600.0,0,25258.717142857142,1.64408
31,24900.0,0,25558.717142857142,1.64408
31,25200.0,0,25858.717142857142,1.64408
33,24900.0,0,25569.018571428573,1.93252
33,25200.0,0,25869.018571428573,1.93252
39,25200.0,0,25884.282857142858,2.3599200000000002
39,25500.0,0,26184.282857142858,2.3599200000000002
42,25200.0,0,25927.198571428573,3.56156
9,25200.0,0,25853.121428571427,1.4874
9,25500.0,0,26153.121428571427,1.4874
51,25500.0,0,26213.931428571428,3.19008
51,25800.0,0,26513.931428571428,3.19008
52,27300.0,0,28016.01714285714,3.2484800000000003
6,27600.0,0,28224.205714285716,0.67776
6,27900.0,0,28524.205714285716,0.67776
24,27900.0,0,28519.068571428572,0.53392
24,28200.0,0,28819.068571428572,0.53392
14,29100.0,0,29787.44142857143,2.44836
53,29400.0,0,30125.524285714284,3.51468
53,29700.0,0,30425.524285714284,3.51468
32,31800.0,0,32456.935714285715,1.5942
32,32100.0,0,32756.935714285715,1.5942
32,32400.0,0,33056.93571428571,1.5942
35,32100.0,0,32781.62,2.2853600000000003
35,32400.0,0,33081.62,2.2853600000000003
8,32700.0,0,33343.782857142854,1.2259200000000001
8,33000.0,0,33643.782857142854,1.2259200000000001
28,33000.0,0,33640.067142857144,1.1218800000000002
28,33300.0,0,33940.067142857144,1.1218800000000002
28,33600.0,0,34240.067142857144,1.1218800000000002
47,33300.0,0,33992.24,2.5827199999999997
47,33600.0,0,34292.24,2.5827199999999997
10,33600.0,0,34203.47142857143,0.09720000000000001
10,33900.0,0,34503.47142857143,0.09720000000000001
10,34200.0,0,34803.47142857143,0.09720000000000001
21,34200.0,0,34876.892857142855,2.153
5,34500.0,0,35107.32428571428,0.20508
5,34800.0,0,35407.32428571428,0.20508
5,35100.0,0,35707.32428571428,0.20508
38,35100.0,0,35807.55285714286,3.01148
38,35400.0,0,36107.55285714286,3.01148
38,35700.0,0,36407.55285714286,3.01148
49,35700.0,0,36403.75571428571,2.90516
49,36000.0,0,36703.75571428571,2.90516
26,36300.0,0,36928.862857142856,0.80816
26,36600.0,0,37228.862857142856,0.80816
26,36900.0,0,37528.862857142856,0.80816
35,36300.0,0,36981.62,2.2853600000000003
35,36600.0,0,37281.62,2.2853600000000003
35,36900.0,0,37581.62,2.2853600000000003
40,37500.0,0,38218.03571428572,3.305
40,37800.0,0,38518.03571428572,3.305
34,37500.0,0,38167.47285714286,1.88924
27,37800.0,0,38438.31857142857,1.07292
27,38100.0,0,38738.31857142857,1.07292
27,38400.0,0,39038.31857142857,1.07292
27,38700.0,0,39338.31857142857,1.07292
25,38100.0,0,38729.19285714286,0.8174
25,38400.0,0,39029.19285714286,0.8174
25,38700.0,0,39329.19285714286,0.8174
30,38400.0,0,39048.43142857143,1.35608
30,38700.0,0,39348.43142857143,1.35608
30,39000.0,0,39648.43142857143,1.35608
3,38700.0,0,39324.70857142857,0.69184
3,39000.0,0,39624.70857142857,0.69184
3,39300.0,0,39924.70857142857,0.69184
55,39000.0,0,39732.72142857143,3.7161999999999997
55,39300.0,0,40032.72142857143,3.7161999999999997
55,39600.0,0,40332.72142857143,3.7161999999999997
19,39600.0,0,40266.89428571428,1.87304
43,39900.0,0,40602.39,2.86692
43,40200.0,0,40902.39,2.86692
18,39900.0,0,40566.54285714286,1.8632000000000002
18,40200.0,0,40866.54285714286,1.8632000000000002
18,40500.0,0,41166.54285714286,1.8632000000000002
11,40500.0,0,41103.12857142857,0.0876
11,40800.0,0,41403.12857142857,0.0876
11,41100.0,0,41703.12857142857,0.0876
24,40800.0,0,41419.06857142857,0.53392
24,41100.0,0,41719.06857142857,0.53392
24,41400.0,0,42019.06857142857,0.53392
10,40800.0,0,41403.47142857143,0.09720000000000001
10,41100.0,0,41703.47142857143,0.09720000000000001
10,41400.0,0,42003.47142857143,0.09720000000000001
10,41700.0,0,42303.47142857143,0.09720000000000001
23,40800.0,0,41420.50428571428,0.57412
23,41100.0,0,41720.50428571428,0.57412
23,41400.0,0,42020.50428571428,0.57412
22,40800.0,0,41411.497142857144,0.32192000000000004
22,41100.0,0,41711.497142857144,0.32192000000000004
22,41400.0,0,42011.497142857144,0.32192000000000004
22,41700.0,0,42311.497142857144,0.32192000000000004
46,41100.0,0,41841.131428571425,3.95168
46,41400.0,0,42141.131428571425,3.95168
29,41100.0,0,41748.87714285714,1.36856
29,41400.0,0,42048.87714285714,1.36856
45,41100.0,0,41812.328571428574,3.1452
45,41400.0,0,42112.328571428574,3.1452
45,41700.0,0,42412.328571428574,3.1452
39,41100.0,0,41784.282857142854,2.3599200000000002
39,41400.0,0,42084.282857142854,2.3599200000000002
39,41700.0,0,42384.282857142854,2.3599200000000002
53,41400.0,0,42125.52428571429,3.51468
53,41700.0,0,42425.52428571429,3.51468
26,41700.0,0,42328.862857142856,0.80816
8,42300.0,0,42943.782857142854,1.2259200000000001
8,42600.0,0,43243.782857142854,1.2259200000000001
8,42900.0,0,43543.782857142854,1.2259200000000001
7,42300.0,0,42934.724285714285,0.97228
38,42300.0,0,43007.55285714286,3.01148
38,42600.0,0,43307.55285714286,3.01148
47,42600.0,0,43292.24,2.5827199999999997
47,42900.0,0,43592.24,2.5827199999999997
1,42600.0,0,43207.08,0.19824
1,42900.0,0,43507.08,0.19824
1,43200.0,0,43807.08,0.19824
1,43500.0,0,44107.08,0.19824
40,42600.0,0,43318.03571428572,3.305
40,42900.0,0,43618.03571428572,3.305
