0,1,2,3,4
14,1500.0,0,2187.441428571429,2.44836
14,1800.0,0,2487.441428571429,2.44836
14,2100.0,0,2787.441428571429,2.44836
31,3900.0,0,4558.717142857143,1.64408
31,4200.0,0,4858.717142857143,1.64408
31,4500.0,0,5158.717142857143,1.64408
27,4500.0,0,5138.318571428572,1.07292
23,5100.0,0,5720.504285714285,0.57412
17,11400.0,0,12065.435714285713,1.8322
17,11700.0,0,12365.435714285713,1.8322
30,16800.0,0,17448.431428571428,1.35608
30,17100.0,0,17748.431428571428,1.35608
3,18000.0,0,18624.70857142857,0.69184
3,18300.0,0,18924.70857142857,0.69184
3,18600.0,0,19224.70857142857,0.69184
3,18900.0,0,19524.70857142857,0.69184
47,18600.0,0,19292.24,2.5827199999999997
47,18900.0,0,19592.24,2.5827199999999997
47,19200.0,0,19892.24,2.5827199999999997
39,18900.0,0,19584.282857142858,2.3599200000000002
39,19200.0,0,19884.282857142858,2.3599200000000002
39,19500.0,0,20184.282857142858,2.3599200000000002
7,20400.0,0,21034.724285714285,0.97228
7,20700.0,0,21334.724285714285,0.97228
7,21000.0,0,21634.724285714285,0.97228
25,21000.0,0,21629.192857142858,0.8174
25,21300.0,0,21929.192857142858,0.8174
25,21600.0,0,22229.192857142858,0.8174
48,21600.0,0,22311.185714285715,3.1132
48,21900.0,0,22611.185714285715,3.1132
54,21900.0,0,22620.84857142857,3.38376
54,22200.0,0,22920.84857142857,3.38376
35,22500.0,0,23181.62,2.2853600000000003
29,24300.0,0,24948.87714285714,1.36856
29,24600.0,0,25248.87714285714,1.36856
29,24900.0,0,25548.87714285714,1.36856
5,24600.0,0,25207.324285714287,0.20508
5,24900.0,0,25507.324285714287,0.20508
50,24900.0,0,25620.652857142857,3.37828
50,25200.0,0,25920.652857142857,3.37828
50,25500.0,0,26220.652857142857,3.37828
50,25800.0,0,26520.652857142857,3.37828
22,24900.0,0,25511.497142857144,0.32192000000000004
22,25200.0,0,25811.497142857144,0.32192000000000004
22,25500.0,0,26111.497142857144,0.32192000000000004
44,27000.0,0,27736.484285714287,3.82156
44,27300.0,0,28036.484285714287,3.82156
44,27600.0,0,28336.484285714287,3.82156
44,27900.0,0,28636.484285714287,3.82156
53,27000.0,0,27725.524285714284,3.51468
53,27300.0,0,28025.524285714284,3.51468
53,27600.0,0,28325.524285714284,3.51468
58,27900.0,0,28636.928571428572,3.834
58,28200.0,0,28936.928571428572,3.834
46,28500.0,0,29241.13142857143,3.95168
46,28800.0,0,29541.13142857143,3.95168
46,29100.0,0,29841.13142857143,3.95168
10,29400.0,0,30003.47142857143,0.09720000000000001
10,29700.0,0,30303.47142857143,0.09720000000000001
28,31800.0,0,32440.067142857144,1.1218800000000002
28,32100.0,0,32740.067142857144,1.1218800000000002
28,32400.0,0,33040.067142857144,1.1218800000000002
28,32700.0,0,33340.067142857144,1.1218800000000002
7,32100.0,0,32734.724285714285,0.97228
7,32400.0,0,33034.724285714285,0.97228
7,32700.0,0,33334.724285714285,0.97228
7,33000.0,0,33634.724285714285,0.97228
14,33000.0,0,33687.44142857143,2.44836
14,33300.0,0,33987.44142857143,2.44836
14,33600.0,0,34287.44142857143,2.44836
24,33300.0,0,33919.06857142857,0.53392
24,33600.0,0,34219.06857142857,0.53392
24,33900.0,0,34519.06857142857,0.53392
24,34200.0,0,34819.06857142857,0.53392
45,35100.0,0,35812.328571428574,3.1452
45,35400.0,0,36112.328571428574,3.1452
8,35100.0,0,35743.782857142854,1.2259200000000001
8,35400.0,0,36043.782857142854,1.2259200000000001
8,35700.0,0,36343.782857142854,1.2259200000000001
52,35400.0,0,36116.01714285714,3.2484800000000003
52,35700.0,0,36416.01714285714,3.2484800000000003
