0,1,2,3,4
25,5100.0,0,5729.192857142857,0.8174
34,6600.0,0,7267.472857142857,1.88924
34,6900.0,0,7567.472857142857,1.88924
16,14700.0,0,15359.064285714287,1.6538
14,16800.0,0,17487.44142857143,2.44836
14,17100.0,0,17787.44142857143,2.44836
27,18000.0,0,18638.318571428572,1.07292
27,18300.0,0,18938.318571428572,1.07292
27,18600.0,0,19238.318571428572,1.07292
1,18000.0,0,18607.08,0.19824
1,18300.0,0,18907.08,0.19824
1,18600.0,0,19207.08,0.19824
23,18000.0,0,18620.504285714287,0.57412
23,18300.0,0,18920.504285714287,0.57412
9,18600.0,0,19253.121428571427,1.4874
9,18900.0,0,19553.121428571427,1.4874
9,19200.0,0,19853.121428571427,1.4874
2,20100.0,0,20714.522857142856,0.40664
2,20400.0,0,21014.522857142856,0.40664
18,20400.0,0,21066.542857142857,1.8632000000000002
18,20700.0,0,21366.542857142857,1.8632000000000002
18,21000.0,0,21666.542857142857,1.8632000000000002
33,20400.0,0,21069.018571428573,1.93252
33,20700.0,0,21369.018571428573,1.93252
31,21000.0,0,21658.717142857142,1.64408
51,21300.0,0,22013.931428571428,3.19008
51,21600.0,0,22313.931428571428,3.19008
51,21900.0,0,22613.931428571428,3.19008
51,22200.0,0,22913.931428571428,3.19008
7,21600.0,0,22234.724285714285,0.97228
7,21900.0,0,22534.724285714285,0.97228
49,21900.0,0,22603.755714285715,2.90516
49,22200.0,0,22903.755714285715,2.90516
36,22200.0,0,22898.152857142857,2.7482800000000003
36,22500.0,0,23198.152857142857,2.7482800000000003
36,22800.0,0,23498.152857142857,2.7482800000000003
36,23100.0,0,23798.152857142857,2.7482800000000003
38,23100.0,0,23807.55285714286,3.01148
38,23400.0,0,24107.55285714286,3.01148
38,23700.0,0,24407.55285714286,3.01148
38,24000.0,0,24707.55285714286,3.01148
33,24300.0,0,24969.018571428573,1.93252
33,24600.0,0,25269.018571428573,1.93252
33,24900.0,0,25569.018571428573,1.93252
