0,1,2,3,4
18,900.0,0,1566.5428571428572,1.8632000000000002
18,1200.0,0,1866.5428571428572,1.8632000000000002
18,1500.0,0,2166.542857142857,1.8632000000000002
6,1800.0,0,2424.2057142857143,0.67776
10,2400.0,0,3003.4714285714285,0.09720000000000001
29,2700.0,0,3348.8771428571426,1.36856
29,3000.0,0,3648.8771428571426,1.36856
27,3900.0,0,4538.318571428572,1.07292
27,4200.0,0,4838.318571428572,1.07292
37,5400.0,0,6074.86,2.09608
37,5700.0,0,6374.86,2.09608
2,15900.0,0,16514.522857142856,0.40664
2,16200.0,0,16814.522857142856,0.40664
2,16500.0,0,17114.522857142856,0.40664
1,18600.0,0,19207.08,0.19824
1,18900.0,0,19507.08,0.19824
24,19200.0,0,19819.068571428572,0.53392
24,19500.0,0,20119.068571428572,0.53392
22,19500.0,0,20111.497142857144,0.32192000000000004
22,19800.0,0,20411.497142857144,0.32192000000000004
22,20100.0,0,20711.497142857144,0.32192000000000004
10,21300.0,0,21903.47142857143,0.09720000000000001
10,21600.0,0,22203.47142857143,0.09720000000000001
10,21900.0,0,22503.47142857143,0.09720000000000001
10,22200.0,0,22803.47142857143,0.09720000000000001
57,21600.0,0,22343.59857142857,4.02076
57,21900.0,0,22643.59857142857,4.02076
57,22200.0,0,22943.59857142857,4.02076
57,22500.0,0,23243.59857142857,4.02076
27,22500.0,0,23138.318571428572,1.07292
58,22500.0,0,23236.928571428572,3.834
33,23400.0,0,24069.018571428573,1.93252
37,23700.0,0,24374.86,2.09608
37,24000.0,0,24674.86,2.09608
26,24300.0,0,24928.862857142856,0.80816
26,24600.0,0,25228.862857142856,0.80816
26,24900.0,0,25528.862857142856,0.80816
26,25200.0,0,25828.862857142856,0.80816
30,24300.0,0,24948.431428571428,1.35608
30,24600.0,0,25248.431428571428,1.35608
31,24600.0,0,25258.717142857142,1.64408
31,24900.0,0,25558.717142857142,1.64408
31,25200.0,0,25858.717142857142,1.64408
29,24900.0,0,25548.87714285714,1.36856
29,25200.0,0,25848.87714285714,1.36856
29,25500.0,0,26148.87714285714,1.36856
29,25800.0,0,26448.87714285714,1.36856
51,25200.0,0,25913.931428571428,3.19008
51,25500.0,0,26213.931428571428,3.19008
51,25800.0,0,26513.931428571428,3.19008
32,25200.0,0,25856.935714285715,1.5942
32,25500.0,0,26156.935714285715,1.5942
32,25800.0,0,26456.935714285715,1.5942
32,26100.0,0,26756.935714285715,1.5942
25,26400.0,0,27029.192857142858,0.8174
25,26700.0,0,27329.192857142858,0.8174
35,27000.0,0,27681.62,2.2853600000000003
35,27300.0,0,27981.62,2.2853600000000003
39,27300.0,0,27984.282857142858,2.3599200000000002
39,27600.0,0,28284.282857142858,2.3599200000000002
39,27900.0,0,28584.282857142858,2.3599200000000002
39,28200.0,0,28884.282857142858,2.3599200000000002
8,27600.0,0,28243.782857142858,1.2259200000000001
8,27900.0,0,28543.782857142858,1.2259200000000001
8,28200.0,0,28843.782857142858,1.2259200000000001
20,29100.0,0,29771.95142857143,2.01464
20,29400.0,0,30071.95142857143,2.01464
20,29700.0,0,30371.95142857143,2.01464
40,29400.0,0,30118.035714285714,3.305
40,29700.0,0,30418.035714285714,3.305
40,30000.0,0,30718.035714285714,3.305
36,31800.0,0,32498.152857142857,2.7482800000000003
36,32100.0,0,32798.15285714286,2.7482800000000003
9,32100.0,0,32753.121428571427,1.4874
9,32400.0,0,33053.12142857143,1.4874
9,32700.0,0,33353.12142857143,1.4874
40,32700.0,0,33418.03571428572,3.305
40,33000.0,0,33718.03571428572,3.305
40,33300.0,0,34018.03571428572,3.305
41,33000.0,0,33694.03857142857,2.63308
41,33300.0,0,33994.03857142857,2.63308
23,33300.0,0,33920.50428571428,0.57412
23,33600.0,0,34220.50428571428,0.57412
11,33600.0,0,34203.12857142857,0.0876
11,33900.0,0,34503.12857142857,0.0876
11,34200.0,0,34803.12857142857,0.0876
13,34200.0,0,34882.25142857143,2.30304
13,34500.0,0,35182.25142857143,2.30304
2,34500.0,0,35114.52285714286,0.40664
2,34800.0,0,35414.52285714286,0.40664
5,34500.0,0,35107.32428571428,0.20508
52,35100.0,0,35816.01714285714,3.2484800000000003
52,35400.0,0,36116.01714285714,3.2484800000000003
23,35700.0,0,36320.50428571428,0.57412
36,36300.0,0,36998.15285714286,2.7482800000000003
36,36600.0,0,37298.15285714286,2.7482800000000003
36,36900.0,0,37598.15285714286,2.7482800000000003
36,37200.0,0,37898.15285714286,2.7482800000000003
33,36300.0,0,36969.01857142857,1.93252
33,36600.0,0,37269.01857142857,1.93252
33,36900.0,0,37569.01857142857,1.93252
10,36900.0,0,37503.47142857143,0.09720000000000001
10,37200.0,0,37803.47142857143,0.09720000000000001
10,37500.0,0,38103.47142857143,0.09720000000000001
10,37800.0,0,38403.47142857143,0.09720000000000001
57,37500.0,0,38243.59857142857,4.02076
57,37800.0,0,38543.59857142857,4.02076
53,37500.0,0,38225.52428571429,3.51468
53,37800.0,0,38525.52428571429,3.51468
48,37800.0,0,38511.18571428571,3.1132
48,38100.0,0,38811.18571428571,3.1132
48,38400.0,0,39111.18571428571,3.1132
18,37800.0,0,38466.54285714286,1.8632000000000002
18,38100.0,0,38766.54285714286,1.8632000000000002
18,38400.0,0,39066.54285714286,1.8632000000000002
32,38100.0,0,38756.93571428571,1.5942
34,38700.0,0,39367.47285714286,1.88924
34,39000.0,0,39667.47285714286,1.88924
34,39300.0,0,39967.47285714286,1.88924
45,39000.0,0,39712.328571428574,3.1452
45,39300.0,0,40012.328571428574,3.1452
19,39600.0,0,40266.89428571428,1.87304
19,39900.0,0,40566.89428571428,1.87304
18,39900.0,0,40566.54285714286,1.8632000000000002
18,40200.0,0,40866.54285714286,1.8632000000000002
18,40500.0,0,41166.54285714286,1.8632000000000002
18,40800.0,0,41466.54285714286,1.8632000000000002
50,40500.0,0,41220.65285714286,3.37828
50,40800.0,0,41520.65285714286,3.37828
50,41100.0,0,41820.65285714286,3.37828
23,40800.0,0,41420.50428571428,0.57412
23,41100.0,0,41720.50428571428,0.57412
17,40800.0,0,41465.43571428571,1.8322
17,41100.0,0,41765.43571428571,1.8322
22,40800.0,0,41411.497142857144,0.32192000000000004
22,41100.0,0,41711.497142857144,0.32192000000000004
22,41400.0,0,42011.497142857144,0.32192000000000004
29,40800.0,0,41448.87714285714,1.36856
29,41100.0,0,41748.87714285714,1.36856
28,41100.0,0,41740.067142857144,1.1218800000000002
33,41100.0,0,41769.01857142857,1.93252
33,41400.0,0,42069.01857142857,1.93252
40,41100.0,0,41818.03571428572,3.305
40,41400.0,0,42118.03571428572,3.305
40,41700.0,0,42418.03571428572,3.305
43,41100.0,0,41802.39,2.86692
43,41400.0,0,42102.39,2.86692
47,41400.0,0,42092.24,2.5827199999999997
47,41700.0,0,42392.24,2.5827199999999997
47,42000.0,0,42692.24,2.5827199999999997
11,42300.0,0,42903.12857142857,0.0876
11,42600.0,0,43203.12857142857,0.0876
11,42900.0,0,43503.12857142857,0.0876
11,43200.0,0,43803.12857142857,0.0876
46,42300.0,0,43041.131428571425,3.95168
46,42600.0,0,43341.131428571425,3.95168
31,42300.0,0,42958.717142857146,1.64408
31,42600.0,0,43258.717142857146,1.64408
24,42600.0,0,43219.06857142857,0.53392
57,42600.0,0,43343.59857142857,4.02076
57,42900.0,0,43643.59857142857,4.02076
38,43500.0,0,44207.55285714286,3.01148
38,43800.0,0,44507.55285714286,3.01148
38,44100.0,0,44807.55285714286,3.01148
