0,1,2,3,4
13,1800.0,0,2482.2514285714287,2.30304
27,4500.0,0,5138.318571428572,1.07292
27,4800.0,0,5438.318571428572,1.07292
27,5100.0,0,5738.318571428572,1.07292
28,5100.0,0,5740.067142857143,1.1218800000000002
28,5400.0,0,6040.067142857143,1.1218800000000002
24,6300.0,0,6919.068571428571,0.53392
24,6600.0,0,7219.068571428571,0.53392
24,6900.0,0,7519.068571428571,0.53392
47,6600.0,0,7292.24,2.5827199999999997
47,6900.0,0,7592.24,2.5827199999999997
47,7200.0,0,7892.24,2.5827199999999997
1,14100.0,0,14707.08,0.19824
1,14400.0,0,15007.08,0.19824
1,14700.0,0,15307.08,0.19824
1,15000.0,0,15607.08,0.19824
18,14700.0,0,15366.542857142857,1.8632000000000002
18,15000.0,0,15666.542857142857,1.8632000000000002
19,16800.0,0,17466.894285714287,1.87304
19,17100.0,0,17766.894285714287,1.87304
19,17400.0,0,18066.894285714287,1.87304
19,17700.0,0,18366.894285714287,1.87304
3,18000.0,0,18624.70857142857,0.69184
3,18300.0,0,18924.70857142857,0.69184
8,18000.0,0,18643.782857142858,1.2259200000000001
8,18300.0,0,18943.782857142858,1.2259200000000001
8,18600.0,0,19243.782857142858,1.2259200000000001
8,18900.0,0,19543.782857142858,1.2259200000000001
43,18600.0,0,19302.39,2.86692
43,18900.0,0,19602.39,2.86692
38,20400.0,0,21107.55285714286,3.01148
38,20700.0,0,21407.55285714286,3.01148
38,21000.0,0,21707.55285714286,3.01148
28,20700.0,0,21340.067142857144,1.1218800000000002
28,21000.0,0,21640.067142857144,1.1218800000000002
28,21300.0,0,21940.067142857144,1.1218800000000002
28,21600.0,0,22240.067142857144,1.1218800000000002
9,21000.0,0,21653.121428571427,1.4874
9,21300.0,0,21953.121428571427,1.4874
1,21300.0,0,21907.08,0.19824
1,21600.0,0,22207.08,0.19824
1,21900.0,0,22507.08,0.19824
1,22200.0,0,22807.08,0.19824
40,21600.0,0,22318.035714285714,3.305
26,21900.0,0,22528.862857142856,0.80816
26,22200.0,0,22828.862857142856,0.80816
25,24300.0,0,24929.192857142858,0.8174
25,24600.0,0,25229.192857142858,0.8174
25,24900.0,0,25529.192857142858,0.8174
46,24300.0,0,25041.13142857143,3.95168
46,24600.0,0,25341.13142857143,3.95168
37,24600.0,0,25274.86,2.09608
37,24900.0,0,25574.86,2.09608
37,25200.0,0,25874.86,2.09608
37,25500.0,0,26174.86,2.09608
32,24600.0,0,25256.935714285715,1.5942
34,24900.0,0,25567.472857142857,1.88924
34,25200.0,0,25867.472857142857,1.88924
5,24900.0,0,25507.324285714287,0.20508
5,25200.0,0,25807.324285714287,0.20508
5,25500.0,0,26107.324285714287,0.20508
5,25800.0,0,26407.324285714287,0.20508
45,24900.0,0,25612.32857142857,3.1452
45,25200.0,0,25912.32857142857,3.1452
45,25500.0,0,26212.32857142857,3.1452
45,25800.0,0,26512.32857142857,3.1452
52,24900.0,0,25616.01714285714,3.2484800000000003
56,25800.0,0,26530.54,3.65512
55,26100.0,0,26832.72142857143,3.7161999999999997
55,26400.0,0,27132.72142857143,3.7161999999999997
41,27000.0,0,27694.038571428573,2.63308
41,27300.0,0,27994.038571428573,2.63308
41,27600.0,0,28294.038571428573,2.63308
26,27600.0,0,28228.862857142856,0.80816
26,27900.0,0,28528.862857142856,0.80816
42,29400.0,0,30127.198571428573,3.56156
42,29700.0,0,30427.198571428573,3.56156
42,30000.0,0,30727.198571428573,3.56156
58,30600.0,0,31336.928571428572,3.834
58,30900.0,0,31636.928571428572,3.834
58,31200.0,0,31936.928571428572,3.834
43,31800.0,0,32502.39,2.86692
33,33000.0,0,33669.01857142857,1.93252
44,33900.0,0,34636.48428571429,3.82156
44,34200.0,0,34936.48428571429,3.82156
44,34500.0,0,35236.48428571429,3.82156
10,35100.0,0,35703.47142857143,0.09720000000000001
10,35400.0,0,36003.47142857143,0.09720000000000001
10,35700.0,0,36303.47142857143,0.09720000000000001
23,35700.0,0,36320.50428571428,0.57412
32,36300.0,0,36956.93571428571,1.5942
32,36600.0,0,37256.93571428571,1.5942
28,36300.0,0,36940.067142857144,1.1218800000000002
28,36600.0,0,37240.067142857144,1.1218800000000002
30,36600.0,0,37248.43142857143,1.35608
27,36600.0,0,37238.31857142857,1.07292
27,36900.0,0,37538.31857142857,1.07292
27,37200.0,0,37838.31857142857,1.07292
36,36900.0,0,37598.15285714286,2.7482800000000003
36,37200.0,0,37898.15285714286,2.7482800000000003
18,36900.0,0,37566.54285714286,1.8632000000000002
18,37200.0,0,37866.54285714286,1.8632000000000002
20,36900.0,0,37571.95142857143,2.01464
20,37200.0,0,37871.95142857143,2.01464
20,37500.0,0,38171.95142857143,2.01464
43,37500.0,0,38202.39,2.86692
43,37800.0,0,38502.39,2.86692
43,38100.0,0,38802.39,2.86692
57,37800.0,0,38543.59857142857,4.02076
57,38100.0,0,38843.59857142857,4.02076
57,38400.0,0,39143.59857142857,4.02076
7,37800.0,0,38434.724285714285,0.97228
7,38100.0,0,38734.724285714285,0.97228
7,38400.0,0,39034.724285714285,0.97228
7,38700.0,0,39334.724285714285,0.97228
6,39000.0,0,39624.205714285716,0.67776
6,39300.0,0,39924.205714285716,0.67776
6,39600.0,0,40224.205714285716,0.67776
55,39000.0,0,39732.72142857143,3.7161999999999997
55,39300.0,0,40032.72142857143,3.7161999999999997
55,39600.0,0,40332.72142857143,3.7161999999999997
17,39300.0,0,39965.43571428571,1.8322
17,39600.0,0,40265.43571428571,1.8322
17,39900.0,0,40565.43571428571,1.8322
24,39600.0,0,40219.06857142857,0.53392
24,39900.0,0,40519.06857142857,0.53392
24,40200.0,0,40819.06857142857,0.53392
