0,1,2,3,4
10,1500.0,0,2103.4714285714285,0.09720000000000001
10,1800.0,0,2403.4714285714285,0.09720000000000001
10,2100.0,0,2703.4714285714285,0.09720000000000001
25,1800.0,0,2429.192857142857,0.8174
19,3900.0,0,4566.894285714286,1.87304
19,4200.0,0,4866.894285714286,1.87304
19,4500.0,0,5166.894285714286,1.87304
29,4500.0,0,5148.877142857143,1.36856
29,4800.0,0,5448.877142857143,1.36856
29,5100.0,0,5748.877142857143,1.36856
16,5100.0,0,5759.064285714286,1.6538
16,5400.0,0,6059.064285714286,1.6538
16,5700.0,0,6359.064285714286,1.6538
30,11400.0,0,12048.431428571428,1.35608
30,11700.0,0,12348.431428571428,1.35608
30,12000.0,0,12648.431428571428,1.35608
32,16800.0,0,17456.935714285715,1.5942
32,17100.0,0,17756.935714285715,1.5942
32,17400.0,0,18056.935714285715,1.5942
9,18000.0,0,18653.121428571427,1.4874
9,18300.0,0,18953.121428571427,1.4874
9,18600.0,0,19253.121428571427,1.4874
27,18600.0,0,19238.318571428572,1.07292
27,18900.0,0,19538.318571428572,1.07292
2,18900.0,0,19514.522857142856,0.40664
2,19200.0,0,19814.522857142856,0.40664
2,19500.0,0,20114.522857142856,0.40664
36,20400.0,0,21098.152857142857,2.7482800000000003
36,20700.0,0,21398.152857142857,2.7482800000000003
47,20700.0,0,21392.24,2.5827199999999997
47,21000.0,0,21692.24,2.5827199999999997
47,21300.0,0,21992.24,2.5827199999999997
47,21600.0,0,22292.24,2.5827199999999997
26,21000.0,0,21628.862857142856,0.80816
26,21300.0,0,21928.862857142856,0.80816
48,21900.0,0,22611.185714285715,3.1132
48,22200.0,0,22911.185714285715,3.1132
22,22500.0,0,23111.497142857144,0.32192000000000004
22,22800.0,0,23411.497142857144,0.32192000000000004
4,23100.0,0,23733.385714285716,0.9348
6,24600.0,0,25224.205714285716,0.67776
6,24900.0,0,25524.205714285716,0.67776
37,24900.0,0,25574.86,2.09608
37,25200.0,0,25874.86,2.09608
39,24900.0,0,25584.282857142858,2.3599200000000002
58,24900.0,0,25636.928571428572,3.834
58,25200.0,0,25936.928571428572,3.834
42,24900.0,0,25627.198571428573,3.56156
42,25200.0,0,25927.198571428573,3.56156
41,26100.0,0,26794.038571428573,2.63308
41,26400.0,0,27094.038571428573,2.63308
35,26700.0,0,27381.62,2.2853600000000003
35,27000.0,0,27681.62,2.2853600000000003
32,27900.0,0,28556.935714285715,1.5942
32,28200.0,0,28856.935714285715,1.5942
24,28500.0,0,29119.068571428572,0.53392
24,28800.0,0,29419.068571428572,0.53392
31,29400.0,0,30058.717142857142,1.64408
31,29700.0,0,30358.717142857142,1.64408
14,30000.0,0,30687.44142857143,2.44836
14,30300.0,0,30987.44142857143,2.44836
27,31800.0,0,32438.318571428572,1.07292
27,32100.0,0,32738.318571428572,1.07292
27,32400.0,0,33038.31857142857,1.07292
10,32100.0,0,32703.47142857143,0.09720000000000001
10,32400.0,0,33003.47142857143,0.09720000000000001
54,33000.0,0,33720.84857142857,3.38376
54,33300.0,0,34020.84857142857,3.38376
8,33300.0,0,33943.782857142854,1.2259200000000001
49,33900.0,0,34603.75571428571,2.90516
49,34200.0,0,34903.75571428571,2.90516
49,34500.0,0,35203.75571428571,2.90516
28,35100.0,0,35740.067142857144,1.1218800000000002
28,35400.0,0,36040.067142857144,1.1218800000000002
37,35100.0,0,35774.86,2.09608
37,35400.0,0,36074.86,2.09608
37,35700.0,0,36374.86,2.09608
37,36000.0,0,36674.86,2.09608
1,35700.0,0,36307.08,0.19824
7,36300.0,0,36934.724285714285,0.97228
7,36600.0,0,37234.724285714285,0.97228
7,36900.0,0,37534.724285714285,0.97228
9,36300.0,0,36953.12142857143,1.4874
9,36600.0,0,37253.12142857143,1.4874
22,36600.0,0,37211.497142857144,0.32192000000000004
22,36900.0,0,37511.497142857144,0.32192000000000004
34,36600.0,0,37267.47285714286,1.88924
34,36900.0,0,37567.47285714286,1.88924
34,37200.0,0,37867.47285714286,1.88924
34,37500.0,0,38167.47285714286,1.88924
55,36900.0,0,37632.72142857143,3.7161999999999997
55,37200.0,0,37932.72142857143,3.7161999999999997
20,36900.0,0,37571.95142857143,2.01464
20,37200.0,0,37871.95142857143,2.01464
20,37500.0,0,38171.95142857143,2.01464
20,37800.0,0,38471.95142857143,2.01464
42,37200.0,0,37927.19857142857,3.56156
42,37500.0,0,38227.19857142857,3.56156
1,37500.0,0,38107.08,0.19824
1,37800.0,0,38407.08,0.19824
1,38100.0,0,38707.08,0.19824
