0,1,2,3,4
19,5100.0,0,5766.894285714286,1.87304
19,5400.0,0,6066.894285714286,1.87304
33,6600.0,0,7269.018571428572,1.93252
33,6900.0,0,7569.018571428572,1.93252
17,7500.0,0,8165.435714285714,1.8322
17,7800.0,0,8465.435714285713,1.8322
26,18000.0,0,18628.862857142856,0.80816
26,18300.0,0,18928.862857142856,0.80816
26,18600.0,0,19228.862857142856,0.80816
9,18000.0,0,18653.121428571427,1.4874
9,18300.0,0,18953.121428571427,1.4874
9,18600.0,0,19253.121428571427,1.4874
1,18000.0,0,18607.08,0.19824
1,18300.0,0,18907.08,0.19824
1,18600.0,0,19207.08,0.19824
5,18000.0,0,18607.324285714287,0.20508
5,18300.0,0,18907.324285714287,0.20508
2,20100.0,0,20714.522857142856,0.40664
2,20400.0,0,21014.522857142856,0.40664
2,20700.0,0,21314.522857142856,0.40664
53,20400.0,0,21125.524285714284,3.51468
53,20700.0,0,21425.524285714284,3.51468
53,21000.0,0,21725.524285714284,3.51468
30,20400.0,0,21048.431428571428,1.35608
30,20700.0,0,21348.431428571428,1.35608
30,21000.0,0,21648.431428571428,1.35608
30,21300.0,0,21948.431428571428,1.35608
40,21000.0,0,21718.035714285714,3.305
40,21300.0,0,22018.035714285714,3.305
8,21600.0,0,22243.782857142858,1.2259200000000001
8,21900.0,0,22543.782857142858,1.2259200000000001
32,21900.0,0,22556.935714285715,1.5942
32,22200.0,0,22856.935714285715,1.5942
32,22500.0,0,23156.935714285715,1.5942
28,21900.0,0,22540.067142857144,1.1218800000000002
28,22200.0,0,22840.067142857144,1.1218800000000002
28,22500.0,0,23140.067142857144,1.1218800000000002
42,23100.0,0,23827.198571428573,3.56156
42,23400.0,0,24127.198571428573,3.56156
42,23700.0,0,24427.198571428573,3.56156
39,24300.0,0,24984.282857142858,2.3599200000000002
39,24600.0,0,25284.282857142858,2.3599200000000002
39,24900.0,0,25584.282857142858,2.3599200000000002
3,24600.0,0,25224.70857142857,0.69184
3,24900.0,0,25524.70857142857,0.69184
3,25200.0,0,25824.70857142857,0.69184
3,25500.0,0,26124.70857142857,0.69184
34,24900.0,0,25567.472857142857,1.88924
34,25200.0,0,25867.472857142857,1.88924
6,24900.0,0,25524.205714285716,0.67776
6,25200.0,0,25824.205714285716,0.67776
6,25500.0,0,26124.205714285716,0.67776
6,25800.0,0,26424.205714285716,0.67776
22,26400.0,0,27011.497142857144,0.32192000000000004
22,26700.0,0,27311.497142857144,0.32192000000000004
22,27000.0,0,27611.497142857144,0.32192000000000004
26,27000.0,0,27628.862857142856,0.80816
26,27300.0,0,27928.862857142856,0.80816
26,27600.0,0,28228.862857142856,0.80816
36,27300.0,0,27998.152857142857,2.7482800000000003
24,27900.0,0,28519.068571428572,0.53392
24,28200.0,0,28819.068571428572,0.53392
24,28500.0,0,29119.068571428572,0.53392
16,27900.0,0,28559.064285714285,1.6538
44,29100.0,0,29836.484285714287,3.82156
44,29400.0,0,30136.484285714287,3.82156
44,29700.0,0,30436.484285714287,3.82156
10,29400.0,0,30003.47142857143,0.09720000000000001
10,29700.0,0,30303.47142857143,0.09720000000000001
30,30600.0,0,31248.431428571428,1.35608
30,30900.0,0,31548.431428571428,1.35608
23,31800.0,0,32420.504285714287,0.57412
58,32100.0,0,32836.92857142857,3.834
58,32400.0,0,33136.92857142857,3.834
58,32700.0,0,33436.92857142857,3.834
58,33000.0,0,33736.92857142857,3.834
14,33000.0,0,33687.44142857143,2.44836
