0.00,49.56,101.66,172.96,233.70,51.27,166.93,240.56,304.02,369.39,24.30,21.90,91.21,515.73,479.40,431.44,741.46,696.86,689.11,686.65,651.25,616.66,77.85,143.53,130.85,204.28,199.43,268.16,277.71,342.07,336.27,410.98,395.80,482.96,468.01,571.22,880.68,518.66,946.42,584.26,1019.80,652.38,1019.45,710.66,954.45,779.68,977.13,645.60,654.31,726.16,720.55,797.36,786.99,878.59,832.23,926.66,899.97,997.82,944.40,172.96,233.70,51.27,304.02,515.73,741.46,696.86,689.11,616.66,77.85,199.43,277.71,336.27,410.98,468.01,571.22,518.66,652.38,1019.45,977.13,654.31,786.99,926.66,997.82
49.56,0.00,52.10,123.40,184.14,579.04,694.70,768.33,831.79,897.16,503.47,69.41,436.56,942.00,905.67,857.71,1167.73,1123.13,1115.38,1112.92,1077.52,1042.93,125.36,384.24,178.36,444.99,246.94,508.87,325.22,582.78,383.78,651.69,443.31,714.16,515.52,737.91,928.19,566.17,993.93,631.77,1067.31,699.89,1066.96,758.17,1001.96,827.19,1024.64,812.29,821.00,892.85,887.24,964.05,953.68,1045.28,998.92,1093.35,1066.66,1164.51,1111.09,123.40,184.14,579.04,831.79,942.00,1167.73,1123.13,1115.38,1042.93,125.36,246.94,325.22,383.78,651.69,515.52,737.91,566.17,699.89,1066.96,1024.64,821.00,953.68,1093.35,1164.51
101.66,52.10,0.00,71.30,132.04,631.14,746.80,820.43,883.89,949.26,555.57,121.51,488.66,994.10,957.77,909.81,1219.83,1175.23,1167.48,1165.02,1129.62,1095.03,177.46,436.34,230.46,497.09,299.04,560.97,377.32,634.88,435.88,703.79,495.41,766.26,567.62,790.01,980.29,618.27,1046.03,683.87,1119.41,751.99,1119.06,810.27,1054.06,879.29,1076.74,864.39,873.10,944.95,939.34,1016.15,1005.78,1097.38,1051.02,1145.45,1118.76,1216.61,1163.19,71.30,132.04,631.14,883.89,994.10,1219.83,1175.23,1167.48,1095.03,177.46,299.04,377.32,435.88,703.79,567.62,790.01,618.27,751.99,1119.06,1076.74,873.10,1005.78,1145.45,1216.61
172.96,123.40,71.30,0.00,60.74,702.44,818.10,891.73,955.19,1020.56,626.87,192.81,559.96,1065.40,1029.07,981.11,1291.13,1246.53,1238.78,1236.32,1200.92,1166.33,248.76,507.64,301.76,568.39,370.34,632.27,448.62,706.18,507.18,775.09,566.71,837.56,638.92,861.31,1051.59,689.57,1117.33,755.17,1190.71,821.65,1182.36,873.57,1117.36,942.59,1140.04,935.69,944.40,1016.25,1010.64,1087.45,1077.08,1168.68,1122.32,1216.75,1190.06,1287.91,1234.49,0.00,60.74,702.44,955.19,1065.40,1291.13,1246.53,1238.78,1166.33,248.76,370.34,448.62,507.18,775.09,638.92,861.31,689.57,821.65,1182.36,1140.04,944.40,1077.08,1216.75,1287.91
233.70,184.14,132.04,60.74,0.00,763.18,878.84,952.47,1015.93,1081.30,687.61,253.55,620.70,1126.14,1089.81,1041.85,1351.87,1307.27,1299.52,1297.06,1261.66,1227.07,309.50,568.38,362.50,629.13,431.08,693.01,509.36,766.92,567.92,835.83,627.45,898.30,699.66,922.05,1112.33,750.31,1178.07,815.91,1185.76,760.91,1121.62,812.83,1056.62,881.85,1079.30,996.43,1005.14,1076.99,1071.38,1148.19,1137.82,1229.42,1183.06,1277.49,1250.80,1348.65,1295.23,60.74,0.00,763.18,1015.93,1126.14,1351.87,1307.27,1299.52,1227.07,309.50,431.08,509.36,567.92,835.83,699.66,922.05,750.31,760.91,1121.62,1079.30,1005.14,1137.82,1277.49,1348.65
51.27,583.74,635.84,707.14,767.88,0.00,115.66,189.29,252.75,318.12,75.57,512.28,142.48,489.96,453.63,405.67,715.69,671.09,663.34,660.88,625.48,590.89,506.53,194.80,525.75,255.55,457.19,319.43,464.13,393.34,522.69,462.25,582.22,534.23,654.43,622.49,812.77,705.08,878.51,770.68,951.89,838.80,1016.10,897.08,1060.17,966.10,1082.85,696.87,705.58,777.43,771.82,848.63,838.26,929.86,883.50,977.93,951.24,1049.09,995.67,707.14,767.88,0.00,252.75,489.96,715.69,671.09,663.34,590.89,506.53,457.19,464.13,522.69,462.25,654.43,622.49,705.08,838.80,1016.10,1082.85,705.58,838.26,977.93,1049.09
169.44,701.91,754.01,825.31,886.05,118.17,0.00,73.63,137.09,202.46,193.74,630.45,260.65,608.13,571.80,523.84,749.21,704.61,696.86,694.40,659.00,624.41,624.70,312.97,643.92,373.72,575.36,437.60,582.30,511.51,640.86,580.42,700.39,652.40,772.60,740.66,930.94,823.25,996.68,888.85,1070.06,956.97,1134.27,1015.25,1178.34,1084.27,1201.02,815.04,823.75,895.60,889.99,966.80,956.43,1048.03,1001.67,1096.10,1069.41,1167.26,1113.84,825.31,886.05,118.17,137.09,608.13,749.21,704.61,696.86,624.41,624.70,575.36,582.30,640.86,580.42,772.60,740.66,823.25,956.97,1134.27,1201.02,823.75,956.43,1096.10,1167.26
243.07,775.54,827.64,898.94,959.68,191.80,73.63,0.00,63.46,128.83,267.37,704.08,334.28,639.47,603.14,555.18,675.58,630.98,623.23,620.77,585.37,550.78,698.33,386.60,717.55,447.35,648.99,511.23,655.93,585.14,714.49,654.05,774.02,726.03,846.23,814.29,1004.57,896.88,1070.31,962.48,1143.69,1030.60,1207.90,1088.88,1251.97,1157.90,1274.65,888.67,897.38,969.23,963.62,1040.43,1030.06,1121.66,1075.30,1169.73,1143.04,1240.89,1187.47,898.94,959.68,191.80,63.46,639.47,675.58,630.98,623.23,550.78,698.33,648.99,655.93,714.49,654.05,846.23,814.29,896.88,1030.60,1207.90,1274.65,897.38,1030.06,1169.73,1240.89
306.48,838.95,891.05,962.35,1023.09,255.21,137.04,63.41,0.00,65.37,330.78,767.49,397.69,576.01,539.68,491.72,612.12,567.52,559.77,557.31,521.91,487.32,761.74,450.01,780.96,510.76,712.40,574.64,719.34,648.55,777.90,717.46,837.43,789.44,909.64,877.70,1067.98,960.29,1133.72,1025.89,1207.10,1094.01,1271.31,1152.29,1315.38,1221.31,1338.06,952.08,960.79,1032.64,1027.03,1103.84,1093.47,1185.07,1138.71,1233.14,1206.45,1304.30,1250.88,962.35,1023.09,255.21,0.00,576.01,612.12,567.52,559.77,487.32,761.74,712.40,719.34,777.90,717.46,909.64,877.70,960.29,1094.01,1271.31,1338.06,960.79,1093.47,1233.14,1304.30
371.85,904.32,956.42,1027.72,1088.46,320.58,202.41,128.78,65.37,0.00,396.15,832.86,463.06,510.64,474.31,426.35,546.75,502.15,494.40,491.94,456.54,421.95,827.11,515.38,846.33,576.13,777.77,640.01,784.71,713.92,843.27,782.83,902.80,854.81,975.01,943.07,1133.35,1025.66,1199.09,1091.26,1272.47,1159.38,1336.68,1217.66,1380.75,1286.68,1403.43,1017.45,1026.16,1098.01,1092.40,1169.21,1158.84,1250.44,1204.08,1298.51,1271.82,1369.67,1316.25,1027.72,1088.46,320.58,65.37,510.64,546.75,502.15,494.40,421.95,827.11,777.77,784.71,843.27,782.83,975.01,943.07,1025.66,1159.38,1336.68,1403.43,1026.16,1158.84,1298.51,1369.67
